año,mes,Sacrificios Porcinos Machos,Sacrificio Porcinos Hembras,Sacrificio totales,Latitud,Longitud
2017,Enero,132,284,416,5.2606,-72.4013
2017,Febrero,258,259,517,5.2606,-72.4013
2017,Marzo,323,290,613,5.2606,-72.4013
2017,Abril,260,311,571,5.2606,-72.4013
2017,Mayo,235,342,577,5.2606,-72.4013
2017,Junio,278,314,592,5.2606,-72.4013
2017,Julio,224,355,579,5.2606,-72.4013
2017,Agosto,297,341,638,5.2606,-72.4013
2017,Septiembre,241,280,521,5.2606,-72.4013
2017,Octubre,76,126,202,5.2606,-72.4013
2017,Noviembre,43,52,95,5.2606,-72.4013
2017,Diciembre,32,57,89,5.2606,-72.4013
2018,Enero,32,47,79,5.2606,-72.4013
2018,Febrero,53,97,150,5.2606,-72.4013
2018,Marzo,108,161,269,5.2606,-72.4013
2018,Abril,92,121,213,5.2606,-72.4013
2018,Mayo,112,196,308,5.2606,-72.4013
2018,Junio,126,211,337,5.2606,-72.4013
2018,Julio,131,272,403,5.2606,-72.4013
2018,Agosto,153,286,439,5.2606,-72.4013
2018,Septiembre,131,234,365,5.2606,-72.4013
2018,Octubre,123,222,345,5.2606,-72.4013
2018,Noviembre,263,142,405,5.2606,-72.4013
2018,Diciembre,191,336,527,5.2606,-72.4013
2019,Enero,40,38,78,5.2606,-72.4013
2019,Febrero,90,53,143,5.2606,-72.4013
2019,Marzo,80,101,181,5.2606,-72.4013
2019,Abril,50,214,264,5.2606,-72.4013
2019,Mayo,89,90,179,5.2606,-72.4013
2019,Junio,99,100,199,5.2606,-72.4013
2019,Julio,40,116,156,5.2606,-72.4013
2019,Agosto,40,56,96,5.2606,-72.4013
2019,Septiembre,70,42,112,5.2606,-72.4013
2019,Octubre,40,46,86,5.2606,-72.4013
2019,Noviembre,39,46,85,5.2606,-72.4013
2019,Diciembre,10,79,89,5.2606,-72.4013
2020,Febrero,27,23,50,5.2606,-72.4013
2020,Marzo,0,11,11,5.2606,-72.4013
2020,Abril,8,10,18,5.2606,-72.4013
2020,Mayo,4,6,10,5.2606,-72.4013
2020,Junio,9,14,23,5.2606,-72.4013
2020,Julio,2,0,2,5.2606,-72.4013
2020,Agosto,2,6,8,5.2606,-72.4013
2020,Septiembre,11,13,24,5.2606,-72.4013
2020,Octubre,26,14,40,5.2606,-72.4013
2020,Noviembre,19,16,35,5.2606,-72.4013
2020,Diciembre,15,7,22,5.2606,-72.4013
2021,Enero,3,7,10,5.2606,-72.4013
2021,Febrero,0,1,1,5.2606,-72.4013
2021,Marzo,14,14,28,5.2606,-72.4013
2021,Abril,11,10,21,5.2606,-72.4013
2021,Mayo,5,12,17,5.2606,-72.4013
2021,Junio,1,1,2,5.2606,-72.4013
2021,Julio,73,75,148,5.2606,-72.4013
2021,Agosto,8,71,79,5.2606,-72.4013
2021,Septiembre,23,26,49,5.2606,-72.4013
2021,Octubre,9,12,21,5.2606,-72.4013
2021,Noviembre,6,8,14,5.2606,-72.4013
2021,Diciembre,1,2,3,5.2606,-72.4013
2022,Enero,1,2,3,5.2606,-72.4013
2022,Febrero,21,12,33,5.2606,-72.4013
2022,Marzo,49,40,89,5.2606,-72.4013
2022,Abril,31,47,78,5.2606,-72.4013
2022,Mayo,19,24,43,5.2606,-72.4013
2022,Junio,19,49,68,5.2606,-72.4013
2022,Julio,13,13,26,5.2606,-72.4013
2022,Agosto,19,12,31,5.2606,-72.4013
2022,Septiembre,15,10,25,5.2606,-72.4013
