año,mes,Sacrificios Bovinos Machos,Sacrificio Bovinos Hembras,Sacrificio totales,Latitud,Longitud
2017,Enero,405,1264,1669,5.2606,-72.4013
2017,Febrero,379,1210,1589,5.2606,-72.4013
2017,Marzo,509,1373,1882,5.2606,-72.4013
2017,Abril,290,1426,1716,5.2606,-72.4013
2017,Mayo,511,1581,2092,5.2606,-72.4013
2017,Junio,431,1683,2114,5.2606,-72.4013
2017,Julio,390,1719,2109,5.2606,-72.4013
2017,Agosto,370,1756,2126,5.2606,-72.4013
2017,Septiembre,271,1986,2257,5.2606,-72.4013
2017,Octubre,355,1821,2176,5.2606,-72.4013
2017,Noviembre,161,511,672,5.2606,-72.4013
2017,Diciembre,558,1154,1712,5.2606,-72.4013
2018,Enero,363,1507,1870,5.2606,-72.4013
2018,Febrero,773,1169,1942,5.2606,-72.4013
2018,Marzo,406,1578,1984,5.2606,-72.4013
2018,Abril,271,1801,2072,5.2606,-72.4013
2018,Mayo,496,2065,2561,5.2606,-72.4013
2018,Junio,401,2048,2449,5.2606,-72.4013
2018,Julio,264,2137,2401,5.2606,-72.4013
2018,Agosto,382,2093,2475,5.2606,-72.4013
2018,Septiembre,366,2064,2430,5.2606,-72.4013
2018,Octubre,455,1999,2454,5.2606,-72.4013
2018,Noviembre,2017,378,2395,5.2606,-72.4013
2018,Diciembre,494,1974,2468,5.2606,-72.4013
2019,Enero,377,1761,2138,5.2606,-72.4013
2019,Febrero,360,1805,2165,5.2606,-72.4013
2019,Marzo,386,2001,2387,5.2606,-72.4013
2019,Abril,318,1840,2158,5.2606,-72.4013
2019,Mayo,308,2361,2669,5.2606,-72.4013
2019,Junio,395,2216,2611,5.2606,-72.4013
2019,Julio,362,2222,2584,5.2606,-72.4013
2019,Agosto,318,2330,2648,5.2606,-72.4013
2019,Septiembre,419,1931,2350,5.2606,-72.4013
2019,Octubre,514,1950,2464,5.2606,-72.4013
2019,Noviembre,365,2009,2374,5.2606,-72.4013
2019,Diciembre,528,1889,2417,5.2606,-72.4013
2020,Febrero,297,1969,2266,5.2606,-72.4013
2020,Marzo,505,1880,2385,5.2606,-72.4013
2020,Abril,373,1224,1597,5.2606,-72.4013
2020,Mayo,303,1665,1968,5.2606,-72.4013
2020,Junio,404,2081,2485,5.2606,-72.4013
2020,Julio,395,1950,2345,5.2606,-72.4013
2020,Agosto,510,2007,2517,5.2606,-72.4013
2020,Septiembre,664,2107,2771,5.2606,-72.4013
2020,Octubre,758,2193,2951,5.2606,-72.4013
2020,Noviembre,662,1925,2587,5.2606,-72.4013
2020,Diciembre,2094,1023,3117,5.2606,-72.4013
2021,Enero,579,1508,2087,5.2606,-72.4013
2021,Febrero,650,1728,2378,5.2606,-72.4013
2021,Marzo,801,1993,2794,5.2606,-72.4013
2021,Abril,579,1381,1960,5.2606,-72.4013
2021,Mayo,559,1242,1801,5.2606,-72.4013
2021,Junio,532,1485,2017,5.2606,-72.4013
2021,Julio,601,1643,2244,5.2606,-72.4013
2021,Agosto,560,1788,2348,5.2606,-72.4013
2021,Septiembre,647,1678,2325,5.2606,-72.4013
2021,Octubre,583,1887,2470,5.2606,-72.4013
2021,Noviembre,626,1721,2347,5.2606,-72.4013
2021,Diciembre,823,1666,2489,5.2606,-72.4013
2022,Enero,690,1347,2037,5.2606,-72.4013
2022,Febrero,515,1440,1955,5.2606,-72.4013
2022,Marzo,532,1716,2248,5.2606,-72.4013
2022,Abril,531,1413,1944,5.2606,-72.4013
2022,Mayo,448,1783,2231,5.2606,-72.4013
2022,Junio,522,1783,2305,5.2606,-72.4013
2022,Julio,480,1772,2252,5.2606,-72.4013
2022,Agosto,571,1652,2223,5.2606,-72.4013
2022,Septiembre,1747,574,2321,5.2606,-72.4013
