"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"COL",2001,230054.83567237294979840,112494010.0877032765710279
"COL",2002,182229.15244789615124276,97084593.1885414358699854
"COL",2003,122417.14483392263218503,59609368.7713130305421671
"COL",2004,253840.00872718681222832,133097300.1664327032701113
"COL",2005,188743.67090602082317673,99736164.778333535091584
"COL",2006,189963.60168665796271290,98473477.841872479015130
"COL",2007,269029.28637287505442913,145497445.771267275352438
"COL",2008,231849.49965961809944081,127891414.970288162401855
"COL",2009,237890.88265869390137463,126375314.876556243005433
"COL",2010,197067.42126456921728544,110541362.437704185932320
"COL",2011,189829.01904874797857343,107313403.319538891371104
"COL",2012,227707.04511266310977501,125760576.107612761151541
"COL",2013,138898.11596843324816121,80050193.529156822614310
"COL",2014,202027.88973578336194058,114970224.654451733439420
"COL",2015,140855.70319021931293841,80321490.898550254028441
"COL",2016,290956.30576804406364512,165597044.780219422963463
"COL",2017,424870.28394790489526868,241435046.433167393230823
"COL",2018,352434.01027582594471349,209191833.712202295748884
"COL",2019,268409.88136648957637776,155942628.030644966856119
"COL",2020,324169.44048265849971701,196265814.330551005073207
"COL",2021,265167.73565817882528312,161859555.394041376085028
